task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,heart,0,DT,AUC,1,2,None,0.7887500000000001,0.6799999999999999,0.0005013942718505859,0.00019812583923339844,0.0005002600000807433,0.00019874999998137355,,
classification,heart,0,CCP,AUC,2,2,0.044453262786596115,0.7775,0.6825,0.0005292892456054688,0.00014400482177734375,0.0005299300000842777,0.00014443999998547952,0.009669303894042969,0.009870165999927849
classification,heart,0,HS (CART),AUC,1,2,0.1,0.7887500000000001,0.6799999999999999,9.655952453613281e-05,9.417533874511719e-05,9.683999996923376e-05,9.451000005356036e-05,0.012480735778808594,0.012480477000281098
classification,heart,0,HS (CART-CCP),AUC,2,2,0.1,0.7775,0.6825,0.00010609626770019531,9.417533874511719e-05,0.00010637000013957731,9.473000000070897e-05,0.09816980361938477,0.09816982300026211
classification,heart,0,DT,AUC,3,4,None,0.84875,0.7525,0.0003070831298828125,9.274482727050781e-05,0.0003070400002798124,9.312000020145206e-05,,
classification,heart,0,CCP,AUC,4,4,0.016095795043163472,0.84875,0.7525,0.00038814544677734375,9.036064147949219e-05,0.0003886399999828427,9.078999983103131e-05,0.008089303970336914,0.008089264999853185
classification,heart,0,HS (CART),AUC,3,4,50.0,0.84875,0.7525,0.00011444091796875,9.393692016601562e-05,0.00011469999981272849,9.463000014875433e-05,0.013997316360473633,0.01399748699986958
classification,heart,0,HS (CART-CCP),AUC,4,4,0.1,0.84875,0.7525,0.0001308917999267578,9.703636169433594e-05,0.00013107999984640628,9.714999987409101e-05,0.1016380786895752,0.1018367550000221
classification,heart,0,DT,AUC,7,8,None,0.8949999999999999,0.765,0.00036072731018066406,9.5367431640625e-05,0.00036063099969396717,9.59899998633773e-05,,
classification,heart,0,CCP,AUC,9,8,0.00962962962962963,0.9199999999999999,0.7775,0.0003867149353027344,9.107589721679688e-05,0.00038697999980286113,9.163999993688776e-05,0.007995367050170898,0.007995205000042915
