task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,heart,0,DT,AUC,1,2,None,0.7887500000000001,0.6799999999999999,0.0006096363067626953,0.00016570091247558594,0.0006930199999999331,0.0001662699999940287,,
classification,heart,0,CCP,AUC,2,2,0.044453262786596115,0.84125,0.73125,0.00040984153747558594,0.0001266002655029297,0.00041108100000997183,0.00012753000001453074,0.00886225700378418,0.00905144199998631
classification,heart,0,HS (CART),AUC,1,2,0.1,0.7887500000000001,0.6799999999999999,0.00010395050048828125,0.00011086463928222656,0.00010430000000383188,0.00011139999998022176,0.013337850570678711,0.013339113999990104
classification,heart,0,HS (CART-CCP),AUC,2,2,0.1,0.84125,0.73125,0.00012969970703125,0.00012063980102539062,0.00013065000001688531,0.00012121000000320237,0.10215139389038086,0.10214799799999241
classification,heart,0,DT,AUC,3,4,None,0.8545625,0.7509999999999999,0.0003521442413330078,0.0001316070556640625,0.0003517700000088553,0.00013219999999591892,,
classification,heart,0,CCP,AUC,4,4,0.016095795043163472,0.9174375,0.7880000000000001,0.0003905296325683594,0.00011467933654785156,0.00039009000002465655,0.00011537000000316766,0.008257627487182617,0.008257902000025297
classification,heart,0,HS (CART),AUC,3,4,50.0,0.8545625,0.7509999999999999,0.000125885009765625,0.00011420249938964844,0.000126389999991261,0.00011431999999444997,0.014790058135986328,0.01478517399999646
classification,heart,0,HS (CART-CCP),AUC,4,4,0.1,0.9174375,0.7880000000000001,0.0001456737518310547,0.00011849403381347656,0.0001464000000055421,0.0001193900000089343,0.10609817504882812,0.10628985900001453
classification,heart,0,DT,AUC,7,8,None,0.941875,0.7890000000000001,0.0003643035888671875,0.00011467933654785156,0.00036435999999184787,0.0001151399999912428,,
classification,heart,0,CCP,AUC,9,8,0.00962962962962963,0.9481249999999999,0.7930000000000001,0.00039076805114746094,0.0001246929168701172,0.0003912699999943925,0.00012506000001621942,0.008665800094604492,0.008665912999987313
classification,heart,0,HS (CART),AUC,7,8,25.0,0.940875,0.7890000000000001,0.00017261505126953125,0.00011229515075683594,0.0001728800000080355,0.00011299999999891952,0.016149282455444336,0.016149824999985185
classification,heart,0,HS (CART-CCP),AUC,9,8,0.1,0.9481249999999999,0.7930000000000001,0.00020599365234375,0.00011610984802246094,0.00020695000000614527,0.00011681000000862696,0.10264182090759277,0.10264271799999847
classification,heart,0,DT,AUC,11,12,None,0.9621875,0.8099999999999999,0.0003757476806640625,0.00011563301086425781,0.00037542000001167253,0.00011589999999728207,,
classification,heart,0,CCP,AUC,12,12,0.008771929824561401,0.9595624999999999,0.75675,0.0003867149353027344,0.00011181831359863281,0.00038724999998862586,0.00011240999998562984,0.008199691772460938,0.008194872999979452
classification,heart,0,HS (CART),AUC,11,12,100.0,0.9439375000000001,0.7870000000000001,0.00021719932556152344,0.00011181831359863281,0.0002178299999968658,0.0001122900000041227,0.017016887664794922,0.01701685500000849
classification,heart,0,HS (CART-CCP),AUC,12,12,0.1,0.9595624999999999,0.7580000000000001,0.0002429485321044922,0.00011897087097167969,0.00024333000001774963,0.00011964999998781423,0.10450959205627441,0.10450029899999436
classification,heart,0,DT,AUC,14,15,None,0.9711875,0.77325,0.0003898143768310547,0.00011563301086425781,0.00038957099999947786,0.00011614999999665088,,
classification,heart,0,CCP,AUC,15,15,0.007407407407407407,0.9733125,0.7837500000000001,0.00039076805114746094,0.00011515617370605469,0.00039143000000763095,0.00011549999999260763,0.008258819580078125,0.008258742000009534
classification,heart,0,HS (CART),AUC,14,15,100.0,0.9461875,0.7875000000000001,0.0002598762512207031,0.00011539459228515625,0.00026017999999794483,0.00011567999999329004,0.017911195755004883,0.017906664999998156
classification,heart,0,HS (CART-CCP),AUC,15,15,0.1,0.9733125,0.787,0.0002789497375488281,0.00011801719665527344,0.0002793000000167467,0.00011849000000552223,0.10468697547912598,0.10467948900000579
classification,heart,0,DT,AUC,19,20,None,0.989375,0.7817500000000001,0.0003914833068847656,0.00011873245239257812,0.000391300000018191,0.0001193200000102479,,
classification,heart,0,CCP,AUC,21,20,0.005324074074074077,0.990875,0.7485,0.0003838539123535156,0.00011205673217773438,0.0003842099999928905,0.00011244999998893945,0.008213520050048828,0.008213651999994909
classification,heart,0,HS (CART),AUC,19,20,100.0,0.9617499999999999,0.78775,0.0003113746643066406,0.00011348724365234375,0.00031164000000671876,0.00011362999998709711,0.019034147262573242,0.019029494999983854
classification,heart,0,HS (CART-CCP),AUC,21,20,0.1,0.990875,0.76425,0.0003495216369628906,0.00011920928955078125,0.0003499199999907887,0.00011983999999642947,0.1048734188079834,0.10485839800000463
classification,heart,0,DT,AUC,23,24,None,0.9931875,0.7622500000000001,0.0004336833953857422,0.00013518333435058594,0.0004338599999869075,0.00013552999999433268,,
classification,heart,0,CCP,AUC,25,24,0.00515873015873016,0.997125,0.7360000000000001,0.00038886070251464844,0.00011587142944335938,0.0003893700000219269,0.0001163000000019565,0.008179426193237305,0.008178971999996065
classification,heart,0,HS (CART),AUC,23,24,100.0,0.9671875000000001,0.7865,0.0003654956817626953,0.00011658668518066406,0.0003661000000079184,0.000117140000014615,0.019480228424072266,0.019480296000011776
classification,heart,0,HS (CART-CCP),AUC,25,24,0.1,0.997125,0.79375,0.0003993511199951172,0.00012135505676269531,0.0003999500000020362,0.00012187999999468957,0.1050572395324707,0.10505814900000132
classification,heart,0,DT,AUC,27,28,None,0.9973125,0.76425,0.0004553794860839844,0.0001430511474609375,0.0004548199999874214,0.00014361000000917556,,
classification,heart,0,CCP,AUC,29,28,0.0,1.0,0.7949999999999999,0.0003631114959716797,0.00011396408081054688,0.0003632399999844438,0.00011433999998189392,0.008202314376831055,0.008202733000018725
classification,heart,0,HS (CART),AUC,27,28,100.0,0.9706875,0.7905,0.0004215240478515625,0.00011873245239257812,0.00042188999998415966,0.000118830999980446,0.01946878433227539,0.01946933499999659
classification,heart,0,HS (CART-CCP),AUC,29,28,0.1,1.0,0.8037500000000001,0.0004439353942871094,0.00011754035949707031,0.0004446309999934783,0.00011792000000809821,0.10492491722106934,0.10491961799999672
classification,heart,0,DT,AUC,29,30,None,1.0,0.7400000000000001,0.00045228004455566406,0.00013494491577148438,0.0004519300000254134,0.0001353299999777846,,
classification,heart,0,CCP,AUC,29,30,0.0,1.0,0.7300000000000001,0.00035953521728515625,0.00011324882507324219,0.0003599799999847164,0.00011356000001683242,0.008116006851196289,0.008115872000018953
classification,heart,0,HS (CART),AUC,29,30,50.0,0.984875,0.79175,0.0006911754608154297,0.00016236305236816406,0.0006917699999746674,0.0001626499999929365,0.022226333618164062,0.02222753599997418
classification,heart,0,HS (CART-CCP),AUC,29,30,0.1,1.0,0.79525,0.00045180320739746094,0.0001285076141357422,0.00045216099999834114,0.000128990000007434,0.1208186149597168,0.12082724200001849
classification,heart,0,DT,AUC,29,32,None,1.0,0.7300000000000001,0.00048041343688964844,0.0001342296600341797,0.00048009099998580496,0.00013440000000741747,,
classification,heart,0,CCP,AUC,29,32,0.0,1.0,0.7525,0.0003693103790283203,0.0001239776611328125,0.0003697109999905024,0.00012440999998375446,0.008378028869628906,0.008377691999982062
classification,heart,0,HS (CART),AUC,29,32,100.0,0.9737500000000001,0.79075,0.0004398822784423828,0.0001163482666015625,0.0004399110000008477,0.0001165799999967021,0.019762516021728516,0.01976245500000573
