,task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,heart,0,DT,AUC,1,2,None,0.7775000000000001,0.7225,0.0006446838378906,0.0001683235168457,0.0005822000000001,0.0001689699999998,,
1,classification,heart,0,HS (CART),AUC,1,2,0.1,0.7775000000000001,0.7225,0.0001118183135986,0.0001187324523925,0.00011194,0.0001195599999999,0.0146527290344238,0.0147341400000002
2,classification,heart,0,DT,AUC,3,4,None,0.8652500000000001,0.766,0.0005316734313964,0.0001897811889648,0.0005307600000001,0.0001902,,
3,classification,heart,0,HS (CART),AUC,3,4,10.0,0.8652500000000001,0.766,0.0002048015594482,0.0001640319824218,0.0002057900000003,0.0001645399999996,0.0198898315429687,0.01989149
4,classification,heart,0,DT,AUC,7,8,None,0.9205625,0.782,0.0004658699035644,0.0001566410064697,0.0004654799999999,0.0001572300000001,,
5,classification,heart,0,HS (CART),AUC,7,8,100.0,0.9016875,0.8015,0.0001947879791259,0.0001227855682373,0.0001961600000002,0.0001233200000001,0.0178508758544921,0.0178403299999998
6,classification,heart,0,DT,AUC,11,12,None,0.9501875,0.7729999999999999,0.0004622936248779,0.0001494884490966,0.0004615299999999,0.0001499600000003,,
7,classification,heart,0,HS (CART),AUC,11,12,100.0,0.9238125,0.80725,0.0002381801605224,0.0001296997070312,0.0002383199999997,0.00013027,0.0191237926483154,0.0191774600000003
8,classification,heart,0,DT,AUC,14,15,None,0.971375,0.7815,0.0004067420959472,0.0001258850097656,0.0004062499999997,0.0001262200000002,,
9,classification,heart,0,HS (CART),AUC,14,15,10.0,0.96125,0.83175,0.0002698898315429,0.0001237392425537,0.0002705999999998,0.00012443,0.0187325477600097,0.0187338699999997
10,classification,heart,0,DT,AUC,19,20,None,0.98375,0.7655,0.0004689693450927,0.0001571178436279,0.0004682099999997,0.00015724,,
11,classification,heart,0,HS (CART),AUC,19,20,25.0,0.970375,0.8272500000000002,0.000331163406372,0.000124454498291,0.0003317800000002,0.0001251200000003,0.0198876857757568,0.0198887999999999
12,classification,heart,0,DT,AUC,23,24,None,0.9900625,0.7925,0.0004115104675292,0.0001230239868164,0.0004110599999997,0.0001233899999997,,
13,classification,heart,0,HS (CART),AUC,23,24,100.0,0.9515625,0.8387500000000001,0.0003869533538818,0.0001256465911865,0.0003877299999999,0.00012634,0.0208888053894042,0.02089037
14,classification,heart,0,DT,AUC,27,28,None,0.9964375,0.6944999999999999,0.0004279613494873,0.0001230239868164,0.0004272299999996,0.0001235699999999,,
15,classification,heart,0,HS (CART),AUC,27,28,10.0,0.9894375,0.8362499999999999,0.0004518032073974,0.0004186630249023,0.00053421,0.0004483799999999,0.0202715396881103,0.0202721799999996
16,classification,heart,0,DT,AUC,29,30,None,0.997375,0.7090000000000001,0.0005288124084472,0.0001578330993652,0.00052844,0.0001587,,
17,classification,heart,0,HS (CART),AUC,29,30,25.0,0.987,0.8405,0.0004498958587646,0.0001237392425537,0.0004501700000001,0.0001244599999998,0.0211179256439209,0.0211187399999999
18,classification,heart,0,DT,AUC,31,32,None,1.0,0.7375,0.0005104541778564,0.0001485347747802,0.0005100099999997,0.0001488199999997,,
19,classification,heart,0,HS (CART),AUC,31,32,1.0,1.0,0.8367500000000001,0.000481367111206,0.0001254081726074,0.0004822200000003,0.0001264899999999,0.0206992626190185,0.0207007799999998
20,classification,heart,1,DT,AUC,1,2,None,0.755,0.7675000000000001,0.0003535747528076,0.0001404285430908,0.0003525199999998,0.0001410700000001,,
21,classification,heart,1,HS (CART),AUC,1,2,100.0,0.755,0.7675000000000001,0.0001020431518554,0.0001163482666015,0.0001024799999997,0.0001170799999998,0.013643741607666,0.0136369300000001
22,classification,heart,1,DT,AUC,3,4,None,0.854,0.7805000000000001,0.0003399848937988,0.0001204013824462,0.0003397000000004,0.0001207199999999,,
23,classification,heart,1,HS (CART),AUC,3,4,0.1,0.854,0.7805000000000001,0.0001287460327148,0.0001180171966552,0.0001292699999995,0.0001186699999999,0.014911413192749,0.0149127
