task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
regression,friedman1,0,CCP,R2,2,2,1.6661937556022535,0.44608414588061174,0.35036221281012425,0.0005240440368652344,9.083747863769531e-05,0.0005244399999355664,9.12000004973379e-05,0.0833742618560791,0.08396589999938442
regression,friedman1,0,HS (CART-CCP),R2,2,2,0.1,0.44608376626826984,0.3504003747974497,0.00012063980102539062,9.1552734375e-05,0.00012107999918953283,9.123000018007588e-05,0.6300709247589111,0.6302507099999275
regression,friedman1,0,CCP,R2,3,4,1.3434111997314875,0.5162531097050183,0.4545225285507509,0.0005240440368652344,8.916854858398438e-05,0.0005245399997875211,8.940999941842165e-05,0.07949662208557129,0.07949113999984547
regression,friedman1,0,HS (CART-CCP),R2,3,4,25.0,0.49573057329663295,0.434735297135199,0.00012922286987304688,8.797645568847656e-05,0.0001299499999731779,8.818000060273334e-05,0.5996901988983154,0.5996815600001355
regression,friedman1,0,CCP,R2,9,8,0.6034299687283269,0.7361091686795831,0.598404503552038,0.0005221366882324219,8.893013000488281e-05,0.0005225099994277116,8.93400001586997e-05,0.07237100601196289,0.07236716999977943
regression,friedman1,0,HS (CART-CCP),R2,9,8,25.0,0.6752926299171729,0.5842486340445421,0.0002143383026123047,9.226799011230469e-05,0.0002149600004486274,9.261000013793819e-05,0.6029939651489258,0.6029283409998243
regression,friedman1,0,CCP,R2,12,12,0.3784657146209253,0.796859487584433,0.5875847647972179,0.0005254745483398438,9.083747863769531e-05,0.0005259899999146,9.097999918594724e-05,0.07275795936584473,0.07277189999967959
regression,friedman1,0,HS (CART-CCP),R2,12,12,10.0,0.7723525791151992,0.608704485480774,0.0002548694610595703,9.250640869140625e-05,0.00025520999952277634,9.269000020140084e-05,0.6020121574401855,0.6019396299998334
regression,friedman1,0,CCP,R2,16,15,0.25644650238915,0.847273686242755,0.5601225536486841,0.0005247592926025391,9.298324584960938e-05,0.0005253899998933775,9.356000009574927e-05,0.07252812385559082,0.07251773999996658
regression,friedman1,0,HS (CART-CCP),R2,16,15,50.0,0.6557607688597524,0.5166836607967614,0.0003142356872558594,9.322166442871094e-05,0.0003149899994241423,9.360000058222795e-05,0.6035397052764893,0.6035271800001283
regression,friedman1,0,CCP,R2,22,20,0.16708987607796527,0.9008792793145707,0.4990312530330989,0.0005240440368652344,9.202957153320312e-05,0.0005247400004009251,9.249000049749156e-05,0.07234978675842285,0.07235084000058123
regression,friedman1,0,HS (CART-CCP),R2,22,20,10.0,0.856838325634349,0.5719871745250511,0.0003941059112548828,9.465217590332031e-05,0.0003945600001316052,9.489999956713291e-05,0.6089849472045898,0.6089423900002657
regression,friedman1,0,CCP,R2,24,24,0.16521328429115684,0.9148217728284619,0.5497168519470947,0.0005218982696533203,9.059906005859375e-05,0.000522350000210281,9.115000011661323e-05,0.07248711585998535,0.0724992999994356
regression,friedman1,0,HS (CART-CCP),R2,24,24,100.0,0.5400374311775222,0.42033545261792704,0.00042748451232910156,9.393692016601562e-05,0.0004277499992895173,9.452999984205235e-05,0.6227457523345947,0.6227378699995825
regression,friedman1,0,CCP,R2,28,28,0.11001886941884503,0.9365756206951492,0.47150696201683207,0.0005168914794921875,9.012222290039062e-05,0.0005175999995117309,9.029000011651078e-05,0.0724794864654541,0.07246621000012965
regression,friedman1,0,HS (CART-CCP),R2,28,28,25.0,0.7917080747795189,0.5692456445903649,0.00048232078552246094,9.417533874511719e-05,0.00048300999969796976,9.473999944020761e-05,0.6097157001495361,0.6097209899999143
regression,friedman1,0,CCP,R2,31,30,0.08080599721678153,0.9491203153457852,0.5741377228833384,0.0005159378051757812,9.894371032714844e-05,0.0005159599995749886,9.915000009641517e-05,0.0724020004272461,0.07240301999991061
regression,friedman1,0,HS (CART-CCP),R2,31,30,25.0,0.7967082088391831,0.5808554789339893,0.0005235671997070312,9.751319885253906e-05,0.0005238800004008226,9.763999969436554e-05,0.6067183017730713,0.6067053200004011
regression,friedman1,0,CCP,R2,33,32,0.07963180492605301,0.9559263342453701,0.5792561793662896,0.0005164146423339844,9.202957153320312e-05,0.0005166700002519065,9.277000026486348e-05,0.07239699363708496,0.07239150999976118
regression,friedman1,0,HS (CART-CCP),R2,33,32,0.1,0.9558909520172281,0.5808727609162889,0.0005414485931396484,9.560585021972656e-05,0.0005418299997472786,9.59999997576233e-05,0.6120238304138184,0.6119950699994661
regression,friedman1,0,CCP,R2,3,2,1.572620417516359,0.5511947611917638,0.343646253621987,0.0005383491516113281,8.797645568847656e-05,0.00053929000023345,8.820999937597662e-05,0.0769643783569336,0.07696590999967157
regression,friedman1,0,HS (CART-CCP),R2,3,2,25.0,0.5273948679947349,0.343658759863253,0.00013303756713867188,8.940696716308594e-05,0.00013376000060816295,8.972999967227224e-05,0.6038596630096436,0.603989640000691
regression,friedman1,0,CCP,R2,4,4,1.2367213120266967,0.6185963722445321,0.3350848972782001,0.0005450248718261719,8.797645568847656e-05,0.0005453300000226591,8.82499998624553e-05,0.07737445831298828,0.07736741999997321
regression,friedman1,0,HS (CART-CCP),R2,4,4,25.0,0.5861993347805684,0.3522454141090354,0.00014400482177734375,8.96453857421875e-05,0.0001445300003979355,8.997000077215489e-05,0.5984158515930176,0.598383190000277
regression,friedman1,0,CCP,R2,8,8,0.6594873996572894,0.7688980763795754,0.45349220958839276,0.0005400180816650391,8.511543273925781e-05,0.0005405799993241089,8.5449999460252e-05,0.0774221420288086,0.07742208000036044
regression,friedman1,0,HS (CART-CCP),R2,8,8,50.0,0.6407240492189483,0.4617245554305782,0.00019931793212890625,9.036064147949219e-05,0.00020014999972772785,9.107000005315058e-05,0.606168270111084,0.6061526599996796
