task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
regression,friedman1,0,DT,R2,1,2,None,0.3645305930985687,0.06969239685563855,0.00028443336486816406,9.059906005859375e-05,0.00037344000156736,9.118000161834061e-05,,
regression,friedman1,0,CCP,R2,2,2,2.633390946849792,0.4731387118021889,0.20292323515411648,0.0005095005035400391,8.654594421386719e-05,0.0005099910013086628,8.726999658392742e-05,0.07192635536193848,0.07207897899934324
regression,friedman1,0,HS (CART),R2,1,2,50.0,0.3373178819771133,0.12502140041153853,9.799003601074219e-05,8.320808410644531e-05,9.83200006885454e-05,8.355000318260863e-05,0.006785154342651367,0.0067851640014851
regression,friedman1,0,HS (CART-CCP),R2,2,2,0.1,0.4731382648119854,0.2031928941480835,0.00011348724365234375,8.726119995117188e-05,0.00011421999806771055,8.782000077189878e-05,0.569272518157959,0.5694005170007586
regression,friedman1,0,DT,R2,3,4,None,0.5758938575186673,0.20255866206116158,0.00028061866760253906,8.58306884765625e-05,0.00028050000037183054,8.626999988337047e-05,,
regression,friedman1,0,CCP,R2,5,4,1.35756138875675,0.7018671788773709,0.30559112389466436,0.0005021095275878906,8.368492126464844e-05,0.0005025999998906627,8.416999844484963e-05,0.07213521003723145,0.0721353189983347
regression,friedman1,0,HS (CART),R2,3,4,10.0,0.5696062821682111,0.2361322455119388,0.00011539459228515625,8.535385131835938e-05,0.00011586999971768819,8.576000254834071e-05,0.00782155990600586,0.007821524999599205
regression,friedman1,0,HS (CART-CCP),R2,5,4,0.1,0.7018658873811767,0.306024410968773,0.00016260147094726562,9.608268737792969e-05,0.00016302999938488938,9.664000026532449e-05,0.5719988346099854,0.5719862689984438
regression,friedman1,0,DT,R2,7,8,None,0.781313471744205,0.3165818719078918,0.0003383159637451172,9.369850158691406e-05,0.0003381200003786944,9.416999819222838e-05,,
regression,friedman1,0,CCP,R2,9,8,0.45211775498609774,0.822440435279423,0.2899652119620697,0.0005090236663818359,8.654594421386719e-05,0.0005094699990877416,8.698999954503961e-05,0.07192230224609375,0.07191670900283498
regression,friedman1,0,HS (CART),R2,7,8,10.0,0.765672881007769,0.37003481381552594,0.0001761913299560547,8.916854858398438e-05,0.00017651999951340258,8.937999882618897e-05,0.009306192398071289,0.009306284999183845
regression,friedman1,0,HS (CART-CCP),R2,9,8,0.1,0.8224373010115781,0.29109690359093676,0.0002079010009765625,8.988380432128906e-05,0.00020824999955948442,9.035000039148144e-05,0.5725958347320557,0.5725581990009232
regression,friedman1,0,DT,R2,11,12,None,0.8486104487266913,0.34973293115449955,0.0003616809844970703,8.726119995117188e-05,0.00036165100027574226,8.76199992490001e-05,,
regression,friedman1,0,CCP,R2,13,12,0.2713698095106176,0.8710275922171724,0.3573020116276733,0.0005009174346923828,9.012222290039062e-05,0.0005013099980715197,9.049999789567664e-05,0.07186603546142578,0.07186571899728733
regression,friedman1,0,HS (CART),R2,11,12,10.0,0.8260648747667572,0.3974231028669044,0.0002231597900390625,8.726119995117188e-05,0.0002236199979961384,8.748999971430749e-05,0.010507345199584961,0.01050715599922114
regression,friedman1,0,HS (CART-CCP),R2,13,12,0.1,0.8710227266865238,0.35813573581608127,0.0002562999725341797,9.012222290039062e-05,0.00025644000197644345,9.047999992617406e-05,0.5734882354736328,0.5734873799992783
regression,friedman1,0,DT,R2,14,15,None,0.8809709156045751,0.3478494582607614,0.00036978721618652344,8.845329284667969e-05,0.00036982999881729484,8.901000182959251e-05,,
regression,friedman1,0,CCP,R2,17,15,0.17928216842861325,0.9062816193239339,0.2801083907701488,0.000507354736328125,8.58306884765625e-05,0.000507510998431826,8.600999717600644e-05,0.07193303108215332,0.07193288800044684
regression,friedman1,0,HS (CART),R2,14,15,10.0,0.8541417136169139,0.39553077811142545,0.00025773048400878906,8.749961853027344e-05,0.0002582909983175341,8.7779997556936e-05,0.011420249938964844,0.011420126000302844
regression,friedman1,0,HS (CART-CCP),R2,17,15,0.1,0.9062755220595846,0.2817361310959763,0.0003025531768798828,8.940696716308594e-05,0.00030291100119939074,9.000999853014946e-05,0.5753593444824219,0.5753475599994999
regression,friedman1,0,DT,R2,19,20,None,0.9190975580234129,0.33135516814858,0.00039505958557128906,9.846687316894531e-05,0.00039495000237366185,9.897999916574918e-05,,
regression,friedman1,0,CCP,R2,20,20,0.1383274630162903,0.9248557272422858,0.36461840925441436,0.0004999637603759766,8.392333984375e-05,0.0005004199992981739,8.430999878328294e-05,0.0715339183807373,0.07152959900122369
regression,friedman1,0,HS (CART),R2,19,20,10.0,0.8864191888749664,0.4001953953469042,0.00032520294189453125,8.869171142578125e-05,0.00032530000316910446,8.878000153345056e-05,0.012752771377563477,0.01275253700077883
regression,friedman1,0,HS (CART-CCP),R2,20,20,0.1,0.9248485859181289,0.3657335872513231,0.0003437995910644531,8.988380432128906e-05,0.0003443099994910881,9.02600004337728e-05,0.5729579925537109,0.5729685300029814
regression,friedman1,0,DT,R2,23,24,None,0.9409392007101521,0.33919320257421726,0.00039768218994140625,8.797645568847656e-05,0.0003972099984821398,8.846000127959996e-05,,
regression,friedman1,0,CCP,R2,24,24,0.095471083522358,0.9452626776253995,0.400556732263592,0.0004954338073730469,8.511543273925781e-05,0.0004956600023433566,8.530999912181869e-05,0.07145953178405762,0.07145908900201903
regression,friedman1,0,HS (CART),R2,23,24,10.0,0.9031843627142502,0.4110590295372982,0.0003871917724609375,8.916854858398438e-05,0.0003876510018017143,8.951999916462228e-05,0.013883829116821289,0.013884027001040522
regression,friedman1,0,HS (CART-CCP),R2,24,24,0.1,0.9452534821830528,0.40130822406311994,0.0003981590270996094,9.1552734375e-05,0.0003987010022683535,9.210000280290842e-05,0.5769333839416504,0.5769243710019509
regression,friedman1,0,DT,R2,27,28,None,0.9562535884488439,0.39431701186249146,0.00040793418884277344,8.797645568847656e-05,0.0004078109996044077,8.842999886837788e-05,,
regression,friedman1,0,CCP,R2,28,28,0.08422009265478125,0.9596054253977273,0.35642705562042143,0.0005004405975341797,8.606910705566406e-05,0.0005008600019209553,8.634999903733842e-05,0.07184505462646484,0.0718449790001614
regression,friedman1,0,HS (CART),R2,27,28,10.0,0.9134075611837807,0.43749130023137917,0.00043010711669921875,8.749961853027344e-05,0.00043046000064350665,8.802999946055934e-05,0.01485753059387207,0.014857538000796922
regression,friedman1,0,HS (CART-CCP),R2,28,28,0.1,0.9595935198721378,0.3579013387795271,0.00045180320739746094,9.322166442871094e-05,0.0004524300020420924,9.363999924971722e-05,0.5784687995910645,0.5784502719980082
regression,friedman1,0,DT,R2,29,30,None,0.9628917007999234,0.37017604797979975,0.0005509853363037109,0.00011467933654785156,0.0005510599985427689,0.0001150699972640723,,
regression,friedman1,0,CCP,R2,30,30,0.06992872591660801,0.9657689449611285,0.35693968062050463,0.0005009174346923828,8.559226989746094e-05,0.0005013499976485036,8.589000208303332e-05,0.07193255424499512,0.07193238900072174
regression,friedman1,0,HS (CART),R2,29,30,10.0,0.918637180373647,0.4241996310992904,0.000457763671875,9.036064147949219e-05,0.0004582900000968948,9.074999979929999e-05,0.015561342239379883,0.015551947999483673
regression,friedman1,0,HS (CART-CCP),R2,30,30,0.1,0.96575610089338,0.3585121065918784,0.0004792213439941406,9.226799011230469e-05,0.00047971100138965994,9.264999971492216e-05,0.5793101787567139,0.5793108120014949
regression,friedman1,0,DT,R2,31,32,None,0.9684975699797286,0.384597504976706,0.00041866302490234375,9.107589721679688e-05,0.00041870000131893903,9.149000106845051e-05,,
regression,friedman1,0,CCP,R2,34,32,0.05927569601767483,0.9754714034564685,0.36406894614429086,0.000507354736328125,8.821487426757812e-05,0.00050777100113919,8.854000043356791e-05,0.07203269004821777,0.07203276899963384
regression,friedman1,0,HS (CART),R2,31,32,10.0,0.9221749651468913,0.4301209229718991,0.00048661231994628906,9.036064147949219e-05,0.0004869900003541261,9.075999696506187e-05,0.016098499298095703,0.016093839003588073
regression,friedman1,0,HS (CART-CCP),R2,34,32,0.1,0.9754562244993285,0.36563700622247886,0.0005254745483398438,9.179115295410156e-05,0.0005259899990051053,9.22699982766062e-05,0.5810251235961914,0.5810099629998149
regression,friedman1,0,DT,R2,1,2,None,0.22031622628063696,0.3479582100462182,0.0002579689025878906,8.749961853027344e-05,0.0003805519991146866,8.750999768381007e-05,,
regression,friedman1,0,CCP,R2,3,2,2.4485156352839548,0.47629566278288593,0.5078651266854783,0.0005028247833251953,8.368492126464844e-05,0.0005032599983678665,8.402000094065443e-05,0.07149839401245117,0.07149846900210832
regression,friedman1,0,HS (CART),R2,1,2,50.0,0.20386931637883055,0.28702596681656056,8.130073547363281e-05,8.225440979003906e-05,8.163999882526696e-05,8.267999874078669e-05,0.0067598819732666016,0.006761922999430681
regression,friedman1,0,HS (CART-CCP),R2,3,2,0.1,0.47629493870537465,0.5078140296804501,0.00012969970703125,8.940696716308594e-05,0.00013015000149607658,8.967000030679628e-05,0.5784249305725098,0.5785349920006411
regression,friedman1,0,DT,R2,3,4,None,0.47629566278288593,0.5078651266854783,0.0002868175506591797,8.487701416015625e-05,0.00028664999990724027,8.520000119460747e-05,,
regression,friedman1,0,CCP,R2,4,4,1.2487813593759438,0.5591123656382453,0.44674548486603183,0.0004975795745849609,8.225440979003906e-05,0.000497930002893554,8.2970000221394e-05,0.07150936126708984,0.0715093489998253
