task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,juvenile,0,RF,AUC,10,None,0.9565522547603106,0.653750736955164,0.0187861919403076,0.0044183731079101,0.0190053899999997,0.0044195300000002,,
classification,juvenile,0,RF-MTRY,AUC,10,"RandomForestClassifier(max_features=0.6154770862883842, n_estimators=10)",0.9614197530864196,0.6730078861499127,0.098517894744873,0.0036675930023193,0.5788069199999999,0.0036682199999997,3.002336025238037,11.85090827
classification,juvenile,0,RF-DEPTH,AUC,10,"RandomForestClassifier(max_depth=2, n_estimators=10)",0.574306069469406,0.5502442896919674,0.033477783203125,0.0037357807159423,0.3673964599999983,0.0410609700000001,1.4414031505584717,9.9435736
classification,juvenile,0,HS-RF,AUC,10,0.1,0.96581151401957,0.6631166344644014,0.0487806797027587,0.004143476486206,0.0487738599999971,0.0041441899999981,0.695791482925415,0.8207444899999992
classification,juvenile,0,BART,AUC,10,None,0.674608838143567,0.6459754951463111,4.891415119171143,7.729868173599243,0.5162313999999988,7.729680029999997,,
classification,juvenile,0,RF,AUC,25,None,0.9938271604938272,0.6806196844372581,0.0419282913208007,0.0091557502746582,0.0419291299999997,0.0091561099999992,,
classification,juvenile,0,RF-MTRY,AUC,25,"RandomForestClassifier(max_features=0.9143890914913789, n_estimators=25)",0.9953703703703703,0.69961415654387,0.3159060478210449,0.0081677436828613,0.831164390000005,0.0081683300000037,7.748783588409424,16.798839481
classification,juvenile,0,RF-DEPTH,AUC,25,"RandomForestClassifier(max_depth=2, n_estimators=25)",0.5680172322655671,0.5394015632205379,0.0542755126953125,0.0062694549560546,0.5962267600000004,0.0320796800000096,2.1449315547943115,10.86213419
classification,juvenile,0,HS-RF,AUC,25,0.1,0.9984567901234568,0.670941493056569,0.1203224658966064,0.0094790458679199,0.1208384100000046,0.0094799399999914,1.6759684085845947,1.677208010000001
classification,juvenile,0,BART,AUC,25,None,0.7061866417638698,0.6792420890416957,9.625961065292358,16.170682907104492,0.8991481099999987,16.170356741999996,,
