,task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score
0,classification,heart,0,DT,AUC,1,2,None,0.7887500000000001,0.6799999999999999
0,classification,heart,0,CCP,AUC,1,2,None,0.7887500000000001,0.6799999999999999
0,classification,heart,0,HS (CART),AUC,1,2,0.1,0.7887500000000001,0.6799999999999999
0,classification,heart,0,HS (CART-CCP),AUC,1,2,0.1,0.7887500000000001,0.6799999999999999
0,classification,heart,0,DT,AUC,3,4,None,0.84875,0.7525
0,classification,heart,0,CCP,AUC,3,4,None,0.84875,0.7525
0,classification,heart,0,HS (CART),AUC,3,4,50.0,0.84875,0.7525
0,classification,heart,0,HS (CART-CCP),AUC,3,4,0.1,0.84875,0.7525
0,classification,heart,0,DT,AUC,7,8,None,0.8949999999999999,0.765
0,classification,heart,0,CCP,AUC,7,8,None,0.8949999999999999,0.765
0,classification,heart,0,HS (CART),AUC,7,8,50.0,0.8949999999999999,0.765
0,classification,heart,0,HS (CART-CCP),AUC,7,8,0.1,0.8949999999999999,0.765
0,classification,heart,0,DT,AUC,11,12,None,0.9249999999999999,0.7775
0,classification,heart,0,CCP,AUC,11,12,None,0.9249999999999999,0.7775
0,classification,heart,0,HS (CART),AUC,11,12,0.1,0.9249999999999999,0.7775
0,classification,heart,0,HS (CART-CCP),AUC,11,12,0.1,0.9249999999999999,0.7775
0,classification,heart,0,DT,AUC,14,15,None,0.94,0.7875000000000001
0,classification,heart,0,CCP,AUC,14,15,None,0.94,0.7875000000000001
0,classification,heart,0,HS (CART),AUC,14,15,0.1,0.94,0.7875000000000001
0,classification,heart,0,HS (CART-CCP),AUC,14,15,0.1,0.94,0.7875000000000001
0,classification,heart,0,DT,AUC,19,20,None,0.95875,0.7549999999999999
0,classification,heart,0,CCP,AUC,19,20,None,0.95875,0.765
0,classification,heart,0,HS (CART),AUC,19,20,50.0,0.9299999999999999,0.7775
0,classification,heart,0,HS (CART-CCP),AUC,19,20,0.1,0.95875,0.765
0,classification,heart,0,DT,AUC,23,24,None,0.98375,0.7675000000000001
0,classification,heart,0,CCP,AUC,23,24,None,0.98375,0.78
0,classification,heart,0,HS (CART),AUC,23,24,50.0,0.9424999999999999,0.79
0,classification,heart,0,HS (CART-CCP),AUC,23,24,0.1,0.98375,0.78
0,classification,heart,0,DT,AUC,27,28,None,0.995,0.7575000000000001
0,classification,heart,0,CCP,AUC,27,28,None,0.995,0.735
0,classification,heart,0,HS (CART),AUC,27,28,10.0,0.98375,0.7475
0,classification,heart,0,HS (CART-CCP),AUC,27,28,0.1,0.995,0.735
0,classification,heart,0,DT,AUC,29,30,None,1.0,0.7300000000000001
0,classification,heart,0,CCP,AUC,29,30,None,1.0,0.7400000000000001
0,classification,heart,0,HS (CART),AUC,29,30,50.0,0.9424999999999999,0.7775
0,classification,heart,0,HS (CART-CCP),AUC,29,30,0.1,1.0,0.7400000000000001
0,classification,heart,0,DT,AUC,29,32,None,1.0,0.765
0,classification,heart,0,CCP,AUC,29,32,None,1.0,0.7525
0,classification,heart,0,HS (CART),AUC,29,32,50.0,0.9424999999999999,0.7775
0,classification,heart,0,HS (CART-CCP),AUC,29,32,0.1,1.0,0.7525
0,classification,heart,0,DT,AUC,1,2,None,0.76125,0.7549999999999999
0,classification,heart,0,CCP,AUC,1,2,None,0.76125,0.7549999999999999
0,classification,heart,0,HS (CART),AUC,1,2,0.1,0.76125,0.7549999999999999
0,classification,heart,0,HS (CART-CCP),AUC,1,2,0.1,0.76125,0.7549999999999999
0,classification,heart,0,DT,AUC,3,4,None,0.8049999999999999,0.7324999999999999
0,classification,heart,0,CCP,AUC,3,4,None,0.8049999999999999,0.7324999999999999
0,classification,heart,0,HS (CART),AUC,3,4,0.1,0.8049999999999999,0.7324999999999999
0,classification,heart,0,HS (CART-CCP),AUC,3,4,0.1,0.8049999999999999,0.7324999999999999
0,classification,heart,0,DT,AUC,7,8,None,0.8600000000000001,0.7075
0,classification,heart,0,CCP,AUC,7,8,None,0.8600000000000001,0.7350000000000001
0,classification,heart,0,HS (CART),AUC,7,8,25.0,0.8600000000000001,0.7075
0,classification,heart,0,HS (CART-CCP),AUC,7,8,0.1,0.8600000000000001,0.7350000000000001
0,classification,heart,0,DT,AUC,11,12,None,0.88625,0.67
0,classification,heart,0,CCP,AUC,11,12,None,0.88625,0.6825
0,classification,heart,0,HS (CART),AUC,11,12,10.0,0.88625,0.67
0,classification,heart,0,HS (CART-CCP),AUC,11,12,0.1,0.88625,0.6825
0,classification,heart,0,DT,AUC,14,15,None,0.9037499999999999,0.7274999999999999
0,classification,heart,0,CCP,AUC,14,15,None,0.9037499999999999,0.6575000000000001
0,classification,heart,0,HS (CART),AUC,14,15,10.0,0.9037499999999999,0.7274999999999999
0,classification,heart,0,HS (CART-CCP),AUC,14,15,0.1,0.9037499999999999,0.6575000000000001
0,classification,heart,0,DT,AUC,19,20,None,0.9349999999999999,0.7200000000000001
0,classification,heart,0,CCP,AUC,19,20,None,0.9349999999999999,0.7200000000000001
0,classification,heart,0,HS (CART),AUC,19,20,25.0,0.8987499999999999,0.6950000000000001
0,classification,heart,0,HS (CART-CCP),AUC,19,20,0.1,0.9349999999999999,0.7200000000000001
0,classification,heart,0,DT,AUC,23,24,None,0.95875,0.66
0,classification,heart,0,CCP,AUC,23,24,None,0.95875,0.6725
0,classification,heart,0,HS (CART),AUC,23,24,50.0,0.8887499999999998,0.6825
0,classification,heart,0,HS (CART-CCP),AUC,23,24,0.1,0.95875,0.6725
0,classification,heart,0,DT,AUC,27,28,None,0.99,0.6900000000000002
0,classification,heart,0,CCP,AUC,27,28,None,0.99,0.715
0,classification,heart,0,HS (CART),AUC,27,28,25.0,0.9299999999999999,0.6875
0,classification,heart,0,HS (CART-CCP),AUC,27,28,0.1,0.99,0.715
0,classification,heart,0,DT,AUC,29,30,None,0.99375,0.7025
0,classification,heart,0,CCP,AUC,29,30,None,0.99375,0.705
0,classification,heart,0,HS (CART),AUC,29,30,50.0,0.9199999999999999,0.7375
0,classification,heart,0,HS (CART-CCP),AUC,29,30,0.1,0.99375,0.705
0,classification,heart,0,DT,AUC,30,32,None,1.0,0.7025
0,classification,heart,0,CCP,AUC,30,32,None,1.0,0.715
0,classification,heart,0,HS (CART),AUC,30,32,10.0,1.0,0.7025
0,classification,heart,0,HS (CART-CCP),AUC,30,32,0.1,1.0,0.715
0,classification,heart,0,DT,AUC,1,2,None,0.755,0.6900000000000002
0,classification,heart,0,CCP,AUC,1,2,None,0.755,0.6900000000000002
0,classification,heart,0,HS (CART),AUC,1,2,0.1,0.755,0.6900000000000002
0,classification,heart,0,HS (CART-CCP),AUC,1,2,0.1,0.755,0.6900000000000002
0,classification,heart,0,DT,AUC,3,4,None,0.74,0.6625
0,classification,heart,0,CCP,AUC,3,4,None,0.74,0.6625
0,classification,heart,0,HS (CART),AUC,3,4,0.1,0.74,0.6625
0,classification,heart,0,HS (CART-CCP),AUC,3,4,0.1,0.74,0.6625
0,classification,heart,0,DT,AUC,7,8,None,0.9,0.745
0,classification,heart,0,CCP,AUC,7,8,None,0.9,0.745
0,classification,heart,0,HS (CART),AUC,7,8,1.0,0.9,0.745
0,classification,heart,0,HS (CART-CCP),AUC,7,8,0.1,0.9,0.745
0,classification,heart,0,DT,AUC,11,12,None,0.9225000000000001,0.745
0,classification,heart,0,CCP,AUC,11,12,None,0.9225000000000001,0.745
0,classification,heart,0,HS (CART),AUC,11,12,0.1,0.9225000000000001,0.745
0,classification,heart,0,HS (CART-CCP),AUC,11,12,0.1,0.9225000000000001,0.745
0,classification,heart,0,DT,AUC,14,15,None,0.9424999999999999,0.745
0,classification,heart,0,CCP,AUC,14,15,None,0.9424999999999999,0.72
0,classification,heart,0,HS (CART),AUC,14,15,50.0,0.90625,0.7324999999999999
0,classification,heart,0,HS (CART-CCP),AUC,14,15,0.1,0.9424999999999999,0.72
0,classification,heart,0,DT,AUC,19,20,None,0.95875,0.72
0,classification,heart,0,CCP,AUC,19,20,None,0.95875,0.7324999999999999
0,classification,heart,0,HS (CART),AUC,19,20,1.0,0.95875,0.72
0,classification,heart,0,HS (CART-CCP),AUC,19,20,0.1,0.95875,0.7324999999999999
