task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,heart,0,CCP,AUC,30,2,0.0,1.0,0.8,0.0003781318664550781,0.00014734268188476562,0.0003787100000636201,0.00014716999999109248,0.005467653274536133,0.005883209999979044
classification,heart,0,HS (CART-CCP),AUC,30,2,50.0,0.982375,0.853,0.000457763671875,0.00011992454528808594,0.00045803000000432803,0.00012094999999590073,0.09114813804626465,0.09114901999998892
classification,heart,0,CCP,AUC,3,4,0.04461489199861291,0.8346875,0.8017500000000001,0.00040078163146972656,0.00011038780212402344,0.0004013900000927606,0.00011093000000528264,0.0072214603424072266,0.007221710000067105
classification,heart,0,HS (CART-CCP),AUC,3,4,25.0,0.8344374999999999,0.79525,0.00012636184692382812,0.00011444091796875,0.0001263599999674625,0.00011472999995021382,0.16595721244812012,0.1661395099999936
classification,heart,0,CCP,AUC,3,8,0.022968319960249506,0.8346875,0.8017500000000001,0.0004055500030517578,0.00011110305786132812,0.00040588000001662294,0.00011156999994454964,0.01377248764038086,0.013772720000019945
classification,heart,0,HS (CART-CCP),AUC,3,8,100.0,0.8344374999999999,0.79525,0.0001251697540283203,0.00011515617370605469,0.0001258600000255683,0.00011575000007724157,0.28537535667419434,0.28538701999991645
classification,heart,0,CCP,AUC,10,12,0.013333333333333336,0.947625,0.79975,0.0004100799560546875,0.00011587142944335938,0.00041003000001182954,0.00011645000006410555,0.020418405532836914,0.020419660000015938
classification,heart,0,HS (CART-CCP),AUC,10,12,50.0,0.9339999999999999,0.85775,0.00021409988403320312,0.00011873245239257812,0.0002143799999885232,0.00011924000000362867,0.4048736095428467,0.4048680800000284
classification,heart,0,CCP,AUC,7,15,0.016095795043163472,0.925,0.85825,0.0004019737243652344,0.00011610984802246094,0.0004023100000267732,0.00011638000000857573,0.02697277069091797,0.026963850000015555
classification,heart,0,HS (CART-CCP),AUC,7,15,50.0,0.92175,0.85825,0.000171661376953125,0.00011539459228515625,0.00017216000003372756,0.00011580000000321888,0.49462413787841797,0.4945741700000781
classification,heart,0,CCP,AUC,31,20,0.0,1.0,0.7825,0.0003762245178222656,0.0001125335693359375,0.0003769200000078854,0.0001130299999658746,0.03081965446472168,0.030819759999985763
