task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,heart,0,DT,AUC,1,2,None,0.7775000000000001,0.7225,0.000644683837890625,0.00016832351684570312,0.0005822000000001992,0.00016896999999982398,,
classification,heart,0,HS (CART),AUC,1,2,0.1,0.7775000000000001,0.7225,0.00011181831359863281,0.00011873245239257812,0.00011194000000003257,0.00011955999999990752,0.014652729034423828,0.014734140000000284
classification,heart,0,DT,AUC,3,4,None,0.8652500000000001,0.766,0.0005316734313964844,0.00018978118896484375,0.0005307600000001855,0.00019020000000002923,,
classification,heart,0,HS (CART),AUC,3,4,10.0,0.8652500000000001,0.766,0.0002048015594482422,0.000164031982421875,0.00020579000000031655,0.00016453999999965774,0.01988983154296875,0.01989149000000001
classification,heart,0,DT,AUC,7,8,None,0.9205625,0.782,0.0004658699035644531,0.00015664100646972656,0.0004654799999999071,0.00015723000000011922,,
classification,heart,0,HS (CART),AUC,7,8,100.0,0.9016875,0.8015,0.00019478797912597656,0.0001227855682373047,0.00019616000000022282,0.00012332000000014887,0.017850875854492188,0.01784032999999985
classification,heart,0,DT,AUC,11,12,None,0.9501875,0.7729999999999999,0.0004622936248779297,0.0001494884490966797,0.00046152999999993227,0.0001499600000003376,,
classification,heart,0,HS (CART),AUC,11,12,100.0,0.9238125,0.80725,0.00023818016052246094,0.00012969970703125,0.00023831999999979203,0.00013027000000009892,0.01912379264831543,0.019177460000000313
classification,heart,0,DT,AUC,14,15,None,0.971375,0.7815,0.0004067420959472656,0.000125885009765625,0.00040624999999971934,0.00012622000000028777,,
classification,heart,0,HS (CART),AUC,14,15,10.0,0.9612499999999999,0.83175,0.00026988983154296875,0.00012373924255371094,0.0002705999999998987,0.0001244300000000642,0.018732547760009766,0.018733869999999708
classification,heart,0,DT,AUC,19,20,None,0.98375,0.7655,0.00046896934509277344,0.0001571178436279297,0.0004682099999997469,0.00015724000000005844,,
classification,heart,0,HS (CART),AUC,19,20,25.0,0.970375,0.8272500000000002,0.0003311634063720703,0.00012445449829101562,0.0003317800000002258,0.00012512000000031165,0.019887685775756836,0.01988879999999993
classification,heart,0,DT,AUC,23,24,None,0.9900625000000001,0.7925,0.0004115104675292969,0.00012302398681640625,0.0004110599999997966,0.00012338999999972344,,
classification,heart,0,HS (CART),AUC,23,24,100.0,0.9515625,0.8387500000000001,0.00038695335388183594,0.00012564659118652344,0.00038772999999991953,0.00012634000000000256,0.020888805389404297,0.020890370000000047
