task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7124999999999999,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7318159327065809,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7123916369199389,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7279411764705883,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.724702380952381,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6888888888888889,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7312753036437248,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7347847600197922,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7493506493506493,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6869747899159664,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7546296296296297,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7434438396833251,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7231781376518219,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.672224987555998,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.6675,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7115289460663038,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7075,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.75,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7575908412145345,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7398785425101214,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7246753246753247,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7455357142857143,-1,-1,-1,-1,-1,-1
classification,heart,0,LBS,AUC,2,2,-1,-1,0.7571644042232277,-1,-1,-1,-1,-1,-1
