task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.4104324101991446,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3863994151046359,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3929068005654862,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.306529275372384,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1951284560417765,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3810821565742925,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2940724804236595,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.263639295496177,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2816872526686829,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3477973187882963,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2575100852511324,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3420408958229268,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.331730521664122,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3118877201957102,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.348368446799374,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3967779432739043,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3409087472876467,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.4083061421516609,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2778389618764862,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1650108072153857,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.4097370596302466,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2416976374448435,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3456544861792018,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3091412632368175,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3442315714724104,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3932137334815799,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.4049696401124789,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2348242756670974,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1500535492079131,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1834247934840311,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.4084383293465353,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3997293396708109,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2393201530049182,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1887902138654621,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.4166235752215304,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3052687416034166,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3699297661233321,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3580729541818414,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3587085006618318,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2875059981727091,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.299170191509672,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.4278222988945643,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.406789281206821,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.4041312488049183,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3011951196377705,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3972930126078948,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2101601792445319,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3323718016740813,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2471995561646175,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2898279717967315,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.129056022447944,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2315456115851242,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,-0.0177260586692316,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3698498606722538,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3806156047638214,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2920823715765623,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,-0.0136936626966703,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,-0.0541509434503253,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1900104932839704,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1965784772312249,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.4409906906371849,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3235908495938682,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2019428370003843,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3424913661396206,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3272972327857596,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2671984903026826,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3049808930587456,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2335432845817341,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3127944044212036,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1289108461600607,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3397567897160208,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1015625572687792,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2921978275315169,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3407244930860746,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3352329146545826,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3549479598370711,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2787995634864234,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,-0.2905410988812122,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2094917400223035,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3143709494924234,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,-0.1438793444612762,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3093199095375849,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2492766247111643,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1972257187708599,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3349408074901163,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2886104442294577,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2888757602957713,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.11954030240196,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2165970202160796,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2982429706878305,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2940621965123153,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3910732036033145,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3242067293011237,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2447836082977772,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2631795773630468,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.1910485643681154,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2395516877791572,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.3936947834547701,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.403152007136335,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,2,2,-1,-1,0.2923264321852369,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.1880314013619534,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3599031924868416,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3465019015033664,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.5483041582968573,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4435065642261726,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4280441340588583,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3544573803155028,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.2584934241625605,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.2715970244136289,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3372688704155704,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3707782995059653,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3271222916442905,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4411312214053977,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3623986432220816,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.346702063947487,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.49457308566523,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4799224861609084,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4735166957446473,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4414402499589106,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.397595720498119,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4329086688411496,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3750632227826137,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.5826497466132956,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3477624236468609,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4342501988091476,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.2264826956698942,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.5647491026116181,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4719729028891589,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3291073816514825,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4917900526397143,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3519799026745467,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3876932752449591,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4901557716163253,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.2798870929214323,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.6006579544575347,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.2804304802056916,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4383373767247671,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,-0.0490452679018,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.2693819446397855,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4194821025001971,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4293189432461953,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.0750720258147286,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.487485471058238,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.5499035486480507,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.2892241244644036,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.1900161137568715,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.245610556836883,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3482304499315589,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.5143740288957478,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.207493525169616,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.4036269856664723,-1,-1,-1,-1,-1,-1
regression,friedman1,0,LBS,R2,4,4,-1,-1,0.3407558570273697,-1,-1,-1,-1,-1,-1
