,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,heart,0,BART,AUC,10,None,0.8500000000000001,0.745,1.4895515441894531,0.1720900535583496,0.08642802499999958,0.17208102699999994,,
0,classification,heart,0,BART,AUC,25,None,0.87375,0.77,2.0981953144073486,0.4242892265319824,0.10411257800000007,0.424302945,,
0,classification,heart,0,BART,AUC,50,None,0.8725,0.7825,3.6348459720611572,0.8523774147033691,0.13116171599999982,0.8523785710000005,,
0,classification,heart,0,BART,AUC,75,None,0.8850000000000001,0.7725000000000001,4.828197479248047,1.2796428203582764,0.15023958999999998,1.2795040060000007,,
0,classification,heart,0,BART,AUC,100,None,0.87375,0.7825,6.931966543197632,1.707033634185791,0.34795956399999994,1.7068905219999992,,
0,classification,heart,0,BART,AUC,300,None,0.8725,0.7725000000000001,20.18131947517395,5.209059000015259,0.7084266719999999,5.208870439,,
0,classification,heart,0,BART,AUC,500,None,0.89,0.7825,34.74314308166504,8.850332021713257,1.4750244709999993,8.847956253000001,,
0,classification,heart,1,BART,AUC,10,None,0.8762500000000001,0.8274999999999999,0.7044930458068848,0.19190025329589844,0.04041017100000133,0.19140906200000174,,
0,classification,heart,1,BART,AUC,25,None,0.86375,0.8374999999999999,1.671001672744751,0.43199586868286133,0.0325613880000013,0.4319354969999978,,
0,classification,heart,1,BART,AUC,50,None,0.87,0.8475,3.422039031982422,0.8897826671600342,0.33603207999999896,0.8897788710000007,,
0,classification,heart,1,BART,AUC,75,None,0.86375,0.8475,5.027807235717773,1.2950236797332764,0.15681488000000243,1.2950212010000008,,
0,classification,heart,1,BART,AUC,100,None,0.87375,0.8374999999999999,6.629528522491455,1.7880384922027588,0.308829412999998,1.7879811530000005,,
0,classification,heart,1,BART,AUC,300,None,0.86875,0.8374999999999999,20.58415460586548,5.1244916915893555,0.8997485139999988,5.124362207000004,,
0,classification,heart,1,BART,AUC,500,None,0.8800000000000001,0.8475,35.96147418022156,8.633739233016968,1.501813128000002,8.633290025999997,,
0,classification,heart,2,BART,AUC,10,None,0.8437500000000001,0.7875,0.6956150531768799,0.17529821395874023,0.05352886500000409,0.17529887700000302,,
0,classification,heart,2,BART,AUC,25,None,0.8274999999999999,0.8225000000000001,1.7726211547851562,0.5009253025054932,0.03494661199999882,0.5009206049999975,,
0,classification,heart,2,BART,AUC,50,None,0.8562500000000001,0.8200000000000001,3.4819397926330566,0.8822553157806396,0.06465839799999884,0.8822440690000022,,
0,classification,heart,2,BART,AUC,75,None,0.8562500000000001,0.8225000000000001,5.064461708068848,1.2846627235412598,0.276705776,1.284663528000003,,
0,classification,heart,2,BART,AUC,100,None,0.8450000000000001,0.8200000000000001,6.597682476043701,1.7288477420806885,0.25953061899999597,1.7286673779999973,,
