,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,heart,0,RF,AUC,10,None,0.9998125,0.90525,0.006845712661743164,0.0014677047729492188,0.00692585999999995,0.0014684900000001555,,
0,classification,heart,0,RF-MTRY,AUC,10,"RandomForestClassifier(max_features=0.18518944286502842, n_estimators=10)",0.999875,0.8865,0.008960247039794922,0.0018191337585449219,0.09776508000000028,0.019982170000000465,1.3563103675842285,9.684305909999999
0,classification,heart,0,RF-DEPTH,AUC,10,"RandomForestClassifier(max_depth=2, n_estimators=10)",0.9138125,0.922,0.008605241775512695,0.0017385482788085938,0.09419763000000003,0.01906020000000197,1.2857587337493896,10.16044026
0,classification,heart,0,HS-RF,AUC,10,0.1,0.999875,0.8985000000000001,0.010713338851928711,0.0013365745544433594,0.010714060000001524,0.0013373600000008423,0.2166759967803955,0.6403098500000013
0,classification,heart,0,RF,AUC,25,None,0.9999375,0.8885,0.014686346054077148,0.002900838851928711,0.01468630000000104,0.0029016899999980694,,
0,classification,heart,0,RF-MTRY,AUC,25,"RandomForestClassifier(max_features=0.1, n_estimators=25)",1.0,0.9465,0.020848751068115234,0.003694295883178711,0.20677844000000078,0.03617752999999624,1.6831340789794922,10.356032380000002
0,classification,heart,0,RF-DEPTH,AUC,25,"RandomForestClassifier(max_depth=6, n_estimators=25)",0.998875,0.928,0.042610883712768555,0.003692150115966797,0.4546249700000047,0.03890103999999894,1.551346778869629,10.656825820000002
0,classification,heart,0,HS-RF,AUC,25,25.0,0.989625,0.9365000000000001,0.027553796768188477,0.0030355453491210938,0.02755471000000398,0.003036310000005926,0.5119471549987793,0.5358618300000018
0,classification,heart,0,RF,AUC,50,None,1.0,0.92575,0.029577016830444336,0.005578756332397461,0.029576720000001444,0.005579690000004689,,
0,classification,heart,0,RF-MTRY,AUC,50,"RandomForestClassifier(max_features=0.12654323149461222, n_estimators=50)",1.0,0.934,0.052794694900512695,0.007644176483154297,0.47676178999999763,0.05982751000000519,2.3991379737854004,10.399931350000003
0,classification,heart,0,RF-DEPTH,AUC,50,"RandomForestClassifier(max_depth=23, n_estimators=50)",1.0,0.92125,0.05079913139343262,0.0056610107421875,0.44069387999999776,0.005662039999990043,2.3493030071258545,10.473927719999999
0,classification,heart,0,HS-RF,AUC,50,1.0,1.0,0.9255,0.05415654182434082,0.0056056976318359375,0.054147829999990904,0.005606650000004265,0.9338216781616211,0.9337346100000019
0,classification,heart,0,RF,AUC,75,None,1.0,0.93525,0.04380631446838379,0.008304357528686523,0.04380371999999966,0.008305550000002881,,
0,classification,heart,0,RF-MTRY,AUC,75,"RandomForestClassifier(max_features=0.1, n_estimators=75)",1.0,0.93625,0.08374309539794922,0.011001110076904297,0.48285505999999145,0.0109929499999879,3.0048036575317383,11.400154889999996
0,classification,heart,0,RF-DEPTH,AUC,75,"RandomForestClassifier(max_depth=8, n_estimators=75)",1.0,0.9275,0.06488037109375,0.008087396621704102,0.5232760700000085,0.008088280000009718,2.9756951332092285,11.832764501
0,classification,heart,0,HS-RF,AUC,75,0.1,1.0,0.9355,0.08950328826904297,0.008970499038696289,0.08989778999999487,0.008972499999998718,1.3779067993164062,1.3778842899999972
0,classification,heart,0,RF,AUC,100,None,1.0,0.92775,0.058754682540893555,0.010734319686889648,0.05875568999999814,0.01072917999999845,,
0,classification,heart,0,RF-MTRY,AUC,100,RandomForestClassifier(max_features=0.14138634604637002),1.0,0.9265000000000001,0.07428526878356934,0.011074304580688477,0.5545648000000085,0.011075410000003671,3.75399112701416,11.957083280000006
0,classification,heart,0,RF-DEPTH,AUC,100,RandomForestClassifier(max_depth=25),1.0,0.92925,0.0759742259979248,0.011549711227416992,0.48425309000000993,0.011552059999999642,3.664220094680786,11.578313980000004
0,classification,heart,0,HS-RF,AUC,100,0.1,1.0,0.9205,0.11005449295043945,0.011099100112915039,0.11005586000000278,0.011100450000000706,1.8738486766815186,1.8738817710000006
0,classification,heart,0,RF,AUC,300,None,1.0,0.9327500000000001,0.17627167701721191,0.03214836120605469,0.17626604000000157,0.032150770000001216,,
0,classification,heart,0,RF-MTRY,AUC,300,"RandomForestClassifier(max_features=0.1001673791023629, n_estimators=300)",1.0,0.9427500000000001,0.18184208869934082,0.031675100326538086,0.5355156900000111,0.03167630000001509,9.417819261550903,18.136284430999993
0,classification,heart,0,RF-DEPTH,AUC,300,"RandomForestClassifier(max_depth=12, n_estimators=300)",0.9999999999999999,0.9305,0.19562506675720215,0.0322873592376709,0.7749049699999944,0.03228952999998569,8.921019792556763,17.350691060000003
0,classification,heart,0,HS-RF,AUC,300,1.0,1.0,0.9275,0.3206181526184082,0.03199291229248047,0.32061093000001506,0.03199544000000287,5.461202144622803,5.462033091000023
0,classification,heart,0,RF,AUC,500,None,1.0,0.9295,0.2909049987792969,0.05350351333618164,0.29089856999999597,0.05350488999999925,,
0,classification,heart,0,RF-MTRY,AUC,500,"RandomForestClassifier(max_features=0.18385565019622607, n_estimators=500)",1.0,0.93475,0.3050260543823242,0.053253173828125,0.7283541500000013,0.05327112999998462,14.946144342422485,22.924845750999992
0,classification,heart,0,RF-DEPTH,AUC,500,"RandomForestClassifier(max_depth=6, n_estimators=500)",0.9994999999999999,0.9315,0.32097434997558594,0.05235791206359863,0.8385902100000067,0.05236064999999712,14.342047691345215,22.59654789199999
0,classification,heart,0,HS-RF,AUC,500,0.1,1.0,0.9329999999999999,0.5365674495697021,0.05414390563964844,0.536515989999998,0.05412638999999331,9.120303869247437,9.11978517099999
0,classification,heart,1,RF,AUC,10,None,1.0,0.86875,0.006342649459838867,0.0013799667358398438,0.006342520000004015,0.0013807500000098116,,
0,classification,heart,1,RF-MTRY,AUC,10,"RandomForestClassifier(max_features=0.9384714113219178, n_estimators=10)",0.99825,0.8434999999999999,0.018423795700073242,0.001790761947631836,0.19482600000000616,0.019708720000011226,1.3685765266418457,10.201386170000006
0,classification,heart,1,RF-DEPTH,AUC,10,"RandomForestClassifier(max_depth=23, n_estimators=10)",0.9994375,0.87225,0.009558916091918945,0.001825571060180664,0.1035533300000111,0.01992293999998651,1.3396873474121094,9.633535219999999
0,classification,heart,1,HS-RF,AUC,10,50.0,0.9787499999999999,0.8674999999999999,0.011325359344482422,0.0013592243194580078,0.011326069999995525,0.0013602699999921697,0.2289280891418457,0.6502869699999962
0,classification,heart,1,RF,AUC,25,None,1.0,0.87925,0.01488041877746582,0.0029761791229248047,0.014880879999992658,0.002976950000004308,,
0,classification,heart,1,RF-MTRY,AUC,25,"RandomForestClassifier(max_features=0.586402844522896, n_estimators=25)",1.0,0.86175,0.03144359588623047,0.002959728240966797,0.33356602999998586,0.011842940000008184,1.74845290184021,10.560018610000014
0,classification,heart,1,RF-DEPTH,AUC,25,"RandomForestClassifier(max_depth=4, n_estimators=25)",0.9768749999999999,0.88,0.02161550521850586,0.003928661346435547,0.2248729899999944,0.039023869999994076,1.5448648929595947,9.855140479999989
0,classification,heart,1,HS-RF,AUC,25,25.0,0.99025,0.8925,0.026882410049438477,0.003126859664916992,0.026870759999951588,0.0031274400000143032,0.47785019874572754,0.7072075099999893
0,classification,heart,1,RF,AUC,50,None,1.0,0.8925000000000001,0.029424190521240234,0.005656003952026367,0.029424409999990075,0.005656839999971908,,
0,classification,heart,1,RF-MTRY,AUC,50,"RandomForestClassifier(max_features=0.5307013076571929, n_estimators=50)",1.0,0.878,0.06741166114807129,0.005636692047119141,0.5656537200000002,0.005637689999957729,2.242036819458008,10.695020180999961
0,classification,heart,1,RF-DEPTH,AUC,50,"RandomForestClassifier(max_depth=3, n_estimators=50)",0.952125,0.893,0.04147148132324219,0.006801605224609375,0.44905180000000655,0.07208955999999489,2.2104673385620117,10.609343140000021
0,classification,heart,1,HS-RF,AUC,50,10.0,0.9973749999999999,0.898,0.05531501770019531,0.00562286376953125,0.05521672999998373,0.0056233799999745315,0.9250917434692383,0.9368790199999921
0,classification,heart,1,RF,AUC,75,None,1.0,0.9002499999999999,0.04420900344848633,0.008267879486083984,0.044194370000013805,0.008269250000012107,,
0,classification,heart,1,RF-MTRY,AUC,75,"RandomForestClassifier(max_features=0.24865923477487165, n_estimators=75)",0.9999999999999999,0.90675,0.07836794853210449,0.00829458236694336,0.5601472999999828,0.00827796000004355,2.987308979034424,11.352099790000011
0,classification,heart,1,RF-DEPTH,AUC,75,"RandomForestClassifier(max_depth=22, n_estimators=75)",1.0,0.8959999999999999,0.06408882141113281,0.008321285247802734,0.6579538899999875,0.008322039999995923,2.9162864685058594,11.287332639999988
0,classification,heart,1,HS-RF,AUC,75,50.0,0.978375,0.8909999999999999,0.0802607536315918,0.008632421493530273,0.08026221000000078,0.008633820000000014,1.3741683959960938,1.3745713010000031
