task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
regression,friedman1,0,CCP,R2,3,2,2.64279623659597,0.53949830995931,0.07065690641943623,0.0005223751068115234,9.1552734375e-05,0.0005227599999670929,9.17800000479474e-05,0.07333159446716309,0.0735479900001792
regression,friedman1,0,HS (CART-CCP),R2,3,2,25.0,0.50883145881032,0.15219210022558194,0.00013446807861328125,8.96453857421875e-05,0.0001350499999261956,8.984999999483989e-05,0.6043965816497803,0.6043767600001502
regression,friedman1,0,CCP,R2,4,4,1.167714998459565,0.6263988942440237,0.26554646638225987,0.0005083084106445312,8.845329284667969e-05,0.0005085500001769105,8.896999997887178e-05,0.07215595245361328,0.07215791999988141
regression,friedman1,0,HS (CART-CCP),R2,4,4,10.0,0.6173558482002118,0.29148713323072717,0.0001423358917236328,8.821487426757812e-05,0.00014280999994298327,8.860000002641755e-05,0.6104378700256348,0.6104081910000332
regression,friedman1,0,CCP,R2,8,8,0.3425916562510398,0.7668438494634513,0.4483145213682169,0.000507354736328125,8.749961853027344e-05,0.0005076800000551884,8.782999998402374e-05,0.07191109657287598,0.07190378000018427
regression,friedman1,0,HS (CART-CCP),R2,8,8,10.0,0.7498990559820957,0.44480880918627674,0.00020170211791992188,9.083747863769531e-05,0.00020177000010335178,9.137000006376184e-05,0.6067633628845215,0.6066970900001252
regression,friedman1,0,CCP,R2,12,12,0.2864186828285239,0.8281323174158746,0.4734828425643163,0.0005035400390625,9.036064147949219e-05,0.0005039099999066821,9.063000015885336e-05,0.07153558731079102,0.0715263499998855
regression,friedman1,0,HS (CART-CCP),R2,12,12,50.0,0.6454533198867052,0.39056908992956885,0.00025463104248046875,9.226799011230469e-05,0.00025539000012031465,9.281000006922113e-05,0.6049699783325195,0.6049258699999882
regression,friedman1,0,CCP,R2,15,15,0.2170302273340018,0.8630226567374579,0.5029007339300904,0.0005114078521728516,9.34600830078125e-05,0.0005121799999869836,9.348000003228663e-05,0.0719294548034668,0.07193118000009235
regression,friedman1,0,HS (CART-CCP),R2,15,15,25.0,0.7571579596352442,0.4606264067796897,0.0002913475036621094,9.226799011230469e-05,0.00029158000006646034,9.27100002172665e-05,0.6100630760192871,0.6100413000001481
regression,friedman1,0,CCP,R2,20,20,0.1409037225876655,0.9043792475732113,0.498737884207456,0.0005075931549072266,9.036064147949219e-05,0.0005080799999177543,9.032000002662244e-05,0.07160186767578125,0.07159035999984553
regression,friedman1,0,HS (CART-CCP),R2,20,20,25.0,0.7798931966070449,0.47088623856679745,0.0003590583801269531,9.083747863769531e-05,0.00035963000004812784,9.092000004784495e-05,0.6235318183898926,0.6234393300001102
regression,friedman1,0,CCP,R2,25,24,0.09238727324016574,0.9326441353433585,0.44251908844686816,0.0005075931549072266,9.059906005859375e-05,0.0005079200000182027,9.098999998968793e-05,0.07158827781677246,0.0716059999999743
regression,friedman1,0,HS (CART-CCP),R2,25,24,10.0,0.881278800618446,0.48464639690445743,0.0004379749298095703,9.34600830078125e-05,0.00043846000016856124,9.352000006401795e-05,0.6075301170349121,0.6074786900001072
regression,friedman1,0,CCP,R2,28,28,0.0769784283241649,0.945204175813665,0.4653728075077147,0.0005009174346923828,8.940696716308594e-05,0.0005014000000755914,8.932999980970635e-05,0.07152390480041504,0.07151949000012792
regression,friedman1,0,HS (CART-CCP),R2,28,28,10.0,0.8891956570359523,0.4943983596248126,0.00047016143798828125,9.393692016601562e-05,0.000470460000087769,9.406999993188947e-05,0.6108160018920898,0.610784380000041
regression,friedman1,0,CCP,R2,31,30,0.06541283947963823,0.9551867926451714,0.40481122938047354,0.0005044937133789062,9.131431579589844e-05,0.0005049699998380675,9.143000011135882e-05,0.07258033752441406,0.07257625000011103
regression,friedman1,0,HS (CART-CCP),R2,31,30,10.0,0.8965976997238752,0.47466978001004867,0.0005104541778564453,9.250640869140625e-05,0.0005109000001084496,9.253999996872153e-05,0.6092433929443359,0.6092311300001256
regression,friedman1,0,CCP,R2,31,32,0.06203689874214403,0.9551867926451714,0.4373775693169262,0.0004935264587402344,8.559226989746094e-05,0.0004938500001117063,8.585999989918491e-05,0.0713956356048584,0.07139570999993339
regression,friedman1,0,HS (CART-CCP),R2,31,32,10.0,0.896597699723875,0.48587517092681776,0.0005085468292236328,9.34600830078125e-05,0.0005091499999707594,9.357999988424126e-05,0.6041755676269531,0.6041470499999377
