task,dataset,boot_iter,algorithm,scoring,n_leaves,max_leaves,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,heart,0,DT,AUC,1,2,None,0.7949999999999999,0.6875,0.0004482269287109375,0.00016498565673828125,0.000447149999672547,0.00016587000573053956,,
classification,heart,0,HS (CART),AUC,1,2,100.0,0.7949999999999999,0.6875,0.00010132789611816406,0.00011372566223144531,0.00010150999878533185,0.0001142699911724776,0.01618790626525879,0.01644428000145126
classification,heart,0,DT,AUC,3,4,None,0.8763750000000001,0.7140000000000001,0.0003292560577392578,0.00013256072998046875,0.0003292199980933219,0.00013297000259626657,,
classification,heart,0,HS (CART),AUC,3,4,25.0,0.8763750000000001,0.7140000000000001,0.0001246929168701172,0.00011444091796875,0.00012496000272221863,0.00011461001122370362,0.014372110366821289,0.014373219994013198
classification,heart,0,DT,AUC,7,8,None,0.935875,0.7230000000000001,0.0003993511199951172,0.0001461505889892578,0.00039944000309333205,0.00014652000390924513,,
classification,heart,0,HS (CART),AUC,7,8,50.0,0.92325,0.7415,0.00017523765563964844,0.000118255615234375,0.00017571999342180789,0.00011875999916810542,0.015522003173828125,0.015523590001976117
classification,heart,0,DT,AUC,11,12,None,0.970375,0.7347500000000001,0.00042891502380371094,0.00013136863708496094,0.0004286600014893338,0.00013174000196158886,,
classification,heart,0,HS (CART),AUC,11,12,25.0,0.958625,0.74475,0.00022172927856445312,0.0001163482666015625,0.0002220699971076101,0.0001164399873232469,0.01661968231201172,0.016620869995676912
classification,heart,0,DT,AUC,14,15,None,0.9835,0.68375,0.0004215240478515625,0.0001323223114013672,0.0004213899956084788,0.00013278999540489167,,
classification,heart,0,HS (CART),AUC,14,15,50.0,0.965125,0.71425,0.0002601146697998047,0.00011849403381347656,0.00026077000075019896,0.00011882001126650721,0.017489910125732422,0.01749081999878399
classification,heart,0,DT,AUC,19,20,None,0.9898125,0.6847500000000001,0.00042819976806640625,0.00013303756713867188,0.0004280800058040768,0.0001333599939243868,,
classification,heart,0,HS (CART),AUC,19,20,50.0,0.9753125,0.7152499999999999,0.00033211708068847656,0.00012230873107910156,0.00033320000511594117,0.00012280000373721123,0.01901721954345703,0.01901868000277318
classification,heart,0,DT,AUC,23,24,None,0.9999375,0.6925,0.00043654441833496094,0.0001399517059326172,0.0004364199994597584,0.0001401599874952808,,
classification,heart,0,HS (CART),AUC,23,24,0.1,0.9999375,0.7275,0.0003528594970703125,0.00011539459228515625,0.0003532800037646666,0.00011577000259421766,0.01905035972595215,0.019050289993174374
classification,heart,0,DT,AUC,24,28,None,1.0,0.6950000000000001,0.00042939186096191406,0.0001442432403564453,0.00042926000605802983,0.0001447200047550723,,
classification,heart,0,HS (CART),AUC,24,28,100.0,0.975125,0.7292500000000001,0.0003714561462402344,0.00011730194091796875,0.00037168999551795423,0.0001178800011985004,0.019162893295288086,0.019162759999744594
classification,heart,0,DT,AUC,24,30,None,1.0,0.685,0.0004334449768066406,0.0001308917999267578,0.00043307000305503607,0.00013119001232553273,,
classification,heart,0,HS (CART),AUC,24,30,0.1,1.0,0.724,0.0003669261932373047,0.00011682510375976562,0.0003672299935715273,0.00011734000872820616,0.019185781478881836,0.01939258999482263
classification,heart,0,DT,AUC,24,32,None,1.0,0.6825000000000001,0.00042819976806640625,0.00013136863708496094,0.00042823998956009746,0.00013162000686861575,,
classification,heart,0,HS (CART),AUC,24,32,1.0,1.0,0.7252500000000001,0.0005965232849121094,0.00015974044799804688,0.0005972000071778893,0.00016046999371610582,0.021527767181396484,0.021529520003241487
classification,heart,1,DT,AUC,1,2,None,0.75125,0.6975,0.0003859996795654297,0.00015974044799804688,0.00038594999932684004,0.00015994999557733536,,
classification,heart,1,HS (CART),AUC,1,2,25.0,0.75125,0.6975,0.00010585784912109375,0.00012040138244628906,0.00010625999129842967,0.00012089998926967382,0.016634464263916016,0.016634989995509386
classification,heart,1,DT,AUC,3,4,None,0.8656874999999999,0.80925,0.00041413307189941406,0.00015115737915039062,0.0004136600036872551,0.0001515500043751672,,
classification,heart,1,HS (CART),AUC,3,4,50.0,0.8558125,0.79725,0.00012636184692382812,0.00012183189392089844,0.00012692000018432736,0.00012196000898256898,0.01653289794921875,0.016521689991350286
classification,heart,1,DT,AUC,7,8,None,0.9173749999999999,0.787,0.00034809112548828125,0.0001266002655029297,0.00034811999648809433,0.00012709999282378703,,
