dataset,n_leaves,score
heart,2,0.7124999999999999
heart,2,0.7318159327065809
heart,2,0.7123916369199389
heart,2,0.7279411764705883
heart,2,0.724702380952381
heart,2,0.6888888888888889
heart,2,0.7312753036437248
heart,2,0.7347847600197922
heart,2,0.7493506493506493
heart,2,0.6869747899159664
heart,2,0.7546296296296297
heart,2,0.7434438396833251
heart,2,0.7231781376518219
heart,2,0.672224987555998
heart,2,0.6675
heart,2,0.7115289460663038
heart,2,0.7075
heart,2,0.75
heart,2,0.7575908412145345
heart,2,0.7398785425101214
heart,2,0.7246753246753247
heart,2,0.7455357142857143
heart,2,0.7571644042232277
heart,2,0.7613146551724138
heart,2,0.7692728266812466
heart,2,0.6948051948051948
heart,2,0.6897233201581028
heart,2,0.7233554309026008
heart,2,0.7460474308300394
heart,2,0.7583333333333333
heart,2,0.7677949228471876
heart,2,0.7481146304675717
heart,2,0.7299847016828149
heart,2,0.6481481481481481
heart,2,0.7432216905901117
heart,2,0.7516177202588352
heart,2,0.7363636363636363
heart,2,0.7135627530364372
heart,2,0.7639517345399699
heart,2,0.7455357142857143
heart,2,0.7025883524141364
heart,2,0.6953242835595776
heart,2,0.7287098419173892
heart,2,0.7407407407407408
heart,2,0.7008461921353908
heart,2,0.7155844155844157
heart,2,0.7835595776772247
heart,2,0.722473604826546
heart,2,0.7175
heart,2,0.742559523809524
heart,2,0.6679940268790444
heart,2,0.6805555555555556
heart,2,0.7584415584415584
heart,2,0.6756556160316675
heart,2,0.6711915535444948
heart,2,0.6666666666666667
heart,2,0.6968325791855204
heart,2,0.8005937654626424
heart,2,0.6804380288700846
heart,2,0.7249999999999999
heart,2,0.7222222222222222
heart,2,0.7453703703703703
heart,2,0.7175925925925926
heart,2,0.6933198380566803
heart,2,0.7529321774604794
heart,2,0.7217261904761906
heart,2,0.7625000000000001
heart,2,0.6907114624505929
heart,2,0.6900452488687783
heart,2,0.7181818181818183
heart,2,0.7373481781376517
heart,2,0.75
heart,2,0.7160560344827586
heart,2,0.7374999999999999
heart,2,0.7314814814814814
heart,2,0.6975
heart,2,0.6855203619909502
