dataset,n_leaves,score
heart,2,0.7239819004524887
heart,2,0.6845238095238095
heart,2,0.685
heart,2,0.7434438396833251
heart,2,0.6976284584980238
heart,2,0.7678571428571428
heart,2,0.7639517345399699
heart,2,0.7318159327065809
heart,2,0.7211776348342406
heart,2,0.6815476190476191
heart,2,0.7332005973120954
heart,2,0.738095238095238
heart,2,0.7474999999999999
heart,2,0.6918016194331984
heart,2,0.7246753246753247
heart,2,0.6759259259259258
heart,2,0.7725000000000001
heart,2,0.7004079551249363
heart,2,0.6907114624505929
heart,2,0.7380952380952381
heart,2,0.6750000000000002
heart,2,0.6224696356275304
heart,2,0.6900000000000002
heart,2,0.7048282727725236
heart,2,0.7231781376518219
heart,2,0.6145833333333334
heart,2,0.7559523809523809
heart,2,0.712962962962963
heart,2,0.688888888888889
heart,2,0.6435492095869455
heart,2,0.7685185185185186
heart,2,0.6968623481781376
heart,2,0.7529761904761905
heart,2,0.6900000000000002
heart,2,0.6783596837944664
heart,2,0.7350649350649351
heart,2,0.7277327935222672
heart,2,0.7454230578921326
heart,2,0.6909739928607853
heart,2,0.7115289460663038
heart,2,0.732707509881423
heart,2,0.7252024291497976
heart,2,0.7142857142857143
heart,2,0.7190144350423096
heart,2,0.722473604826546
heart,2,0.7455533596837944
heart,2,0.7164404223227754
heart,2,0.7277526395173454
heart,2,0.6842105263157894
heart,2,0.73814380418154
heart,2,0.7280701754385964
heart,2,0.686411149825784
heart,2,0.7549407114624506
heart,2,0.757011728709842
heart,2,0.751131221719457
heart,2,0.7254901960784312
heart,2,0.7135627530364372
heart,2,0.719198416625433
heart,2,0.7337951509153884
heart,2,0.7287098419173892
heart,2,0.6574074074074074
heart,2,0.7525000000000001
heart,2,0.719198416625433
heart,2,0.7233201581027668
heart,2,0.7192758796532381
heart,2,0.78
heart,2,0.7345399698340874
heart,2,0.6806036615536862
heart,2,0.7038690476190477
heart,2,0.7222222222222222
heart,2,0.7434046789447486
heart,2,0.715
heart,2,0.7555998008959681
heart,2,0.7279411764705883
heart,2,0.7368689444161143
heart,2,0.7500000000000001
heart,2,0.7099802371541503
heart,2,0.7383107088989441
heart,2,0.7529761904761905
heart,2,0.6721060683324834
heart,2,0.7217261904761906
heart,2,0.6832579185520362
heart,2,0.7453703703703703
heart,2,0.7333333333333334
heart,2,0.7109683794466404
heart,2,0.7142857142857144
heart,2,0.7626518218623481
heart,2,0.7241464621474518
